OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,MV_STORE,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,PAGE_STORE,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,config,workload,throughput
True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,21,voter-2,25294.50748261646
True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,21,voter-16,25346.783249688942
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,voter-2,25611.78330003801
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,voter-16,25423.24994745862
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,smallbank-1,19349.35369157537
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,tpcc-8,588.1145357120618
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,ycsb-600,19173.349597737688
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,smallbank-10,12160.649200104031
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,tpcc-2,685.7281042451016
True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,22,ycsb-2400,13811.284683065727
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,smallbank-1,19362.86194924859
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,tpcc-8,647.7911914865294
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,ycsb-600,19749.94803406891
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,voter-2,26370.4999261626
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,voter-16,26330.716664911284
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,ycsb-2400,15051.126723087844
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,smallbank-10,12755.844712472444
True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,23,tpcc-2,727.4951859824805
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,voter-16,25610.63322320761
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,voter-2,25640.116591883
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,ycsb-600,19302.04069929093
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,tpcc-8,591.3250199540104
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,smallbank-1,19295.418052811216
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,tpcc-2,704.2229022780713
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,smallbank-10,12387.680146923503
True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,24,ycsb-2400,14077.712156700192
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,ycsb-600,18816.661328433755
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,tpcc-8,564.9064578842921
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,smallbank-1,18799.39139194459
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,voter-16,25719.8999485602
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,voter-2,25525.29995745783
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,ycsb-2400,13117.77053251664
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,tpcc-2,660.9603396017837
True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,25,smallbank-10,11754.442455207773
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,tpcc-2,777.6950288178368
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,smallbank-10,13069.264437922076
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,ycsb-2400,15647.039369840884
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,voter-16,29889.53884273331
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,voter-2,29160.283264320664
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,ycsb-600,22196.96969303919
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,smallbank-1,21091.92020255841
True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,26,tpcc-8,635.9946688700875
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,ycsb-2400,13864.795473660652
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,tpcc-2,671.6144047700935
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,smallbank-10,12163.881355486224
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,ycsb-600,20096.439336690783
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,smallbank-1,18745.100120715502
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,tpcc-8,535.2493164687812
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,voter-16,25511.183279334666
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,27,voter-2,25506.13327636964
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,smallbank-1,17000.991605300893
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,tpcc-8,547.4725377679838
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,ycsb-600,18995.72666709965
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,voter-2,25541.56661643492
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,voter-16,25374.54999238764
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,ycsb-2400,12915.348910805576
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,smallbank-10,11899.367083094552
True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,28,tpcc-2,658.3987468916117
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,voter-2,25633.22199302613
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,voter-16,25369.916597322223
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,smallbank-1,17653.10627201417
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,tpcc-8,576.88040731899
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,ycsb-600,19160.01183834368
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,smallbank-10,11964.47019598754
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,tpcc-2,694.4135429399322
True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,29,ycsb-2400,13741.909528243152
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,ycsb-2400,13558.713318241842
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,smallbank-10,11789.556309248092
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,tpcc-2,690.0894785277626
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,tpcc-8,575.5749749678477
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,smallbank-1,19437.02388855948
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,ycsb-600,19168.4596817322
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,voter-2,25196.16661711421
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,30,voter-16,25566.38325706029
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,smallbank-1,17352.102599132333
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,tpcc-8,557.5140105770013
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,ycsb-600,20032.10527068489
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,voter-2,26261.01665047237
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,voter-16,26186.59992929618
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,ycsb-2400,14700.114588570714
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,smallbank-10,12317.943187987705
True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,32,tpcc-2,708.7547760649774
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,voter-2,25544.866628775115
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,voter-16,25049.816620324505
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,smallbank-1,18191.93813334698
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,tpcc-8,588.949095649032
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,ycsb-600,19504.848115323613
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,smallbank-10,11477.902848939468
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,tpcc-2,701.0735295912029
False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,33,ycsb-2400,13663.334039835368
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,ycsb-600,22668.23775500297
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,tpcc-8,629.8604967526963
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,smallbank-1,20099.788151888813
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,voter-16,29843.6166562214
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,voter-2,29994.33327534429
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,ycsb-2400,14673.778097258102
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,tpcc-2,782.2950313443762
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,34,smallbank-10,12967.447223021178
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,voter-16,29158.283244400573
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,voter-2,28969.53324835604
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,ycsb-600,22071.850576274723
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,35,tpcc-8,627.7587127859107
