tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,config,workload,time,max-resident-size,dpi,resolution,quality,indexed
False,True,True,True,False,True,False,1,corona,1.78,310280,100,8294400,0.9,8
False,True,True,True,False,True,False,1,cranium,1.94,502156,100,8294400,0.9,8
False,True,True,True,False,True,False,1,cubus,7.7,2169308,100,8294400,0.9,8
False,True,True,True,False,True,False,1,flame,2.1,673556,100,8294400,0.9,8
False,True,True,True,False,True,False,1,france,3.58,1021368,100,8294400,0.9,8
False,True,True,True,False,True,False,1,frisco,4.84,1397328,100,8294400,0.9,8
False,True,True,True,False,True,False,1,jelly,1.57,413100,100,8294400,0.9,8
False,True,True,True,False,True,False,1,karte,18.47,2967080,100,8294400,0.9,8
False,True,True,True,False,True,False,1,mandelbrot,1.34,398516,100,8294400,0.9,8
False,True,True,True,False,True,False,1,strawberry,1.59,414228,100,8294400,0.9,8
False,True,True,True,False,True,False,1,village,2.3,673720,100,8294400,0.9,8
False,False,False,False,False,True,True,2,corona,1.22,228616,100,307200,0.1,2
False,False,False,False,False,True,True,2,cranium,2.82,880032,100,307200,0.1,2
False,False,False,False,False,True,True,2,cubus,5.55,2583444,100,307200,0.1,2
False,False,False,False,False,True,True,2,flame,1.56,422776,100,307200,0.1,2
False,False,False,False,False,True,True,2,france,5.36,1993464,100,307200,0.1,2
False,False,False,False,False,True,True,2,frisco,5.41,2265056,100,307200,0.1,2
False,False,False,False,False,True,True,2,jelly,1.82,478608,100,307200,0.1,2
False,False,False,False,False,True,True,2,karte,8.93,4630036,100,307200,0.1,2
False,False,False,False,False,True,True,2,mandelbrot,1.41,302100,100,307200,0.1,2
False,False,False,False,False,True,True,2,strawberry,1.81,460304,100,307200,0.1,2
False,False,False,False,False,True,True,2,village,3.02,913532,100,307200,0.1,2
False,True,False,False,False,False,True,3,corona,1.18,230952,400,307200,0.1,1
False,True,False,False,False,False,True,3,cranium,2.88,916196,400,307200,0.1,1
False,True,False,False,False,False,True,3,cubus,5.14,2522000,400,307200,0.1,1
False,True,False,False,False,False,True,3,flame,1.47,390236,400,307200,0.1,1
False,True,False,False,False,False,True,3,france,5.47,2171852,400,307200,0.1,1
False,True,False,False,False,False,True,3,frisco,5.19,2356032,400,307200,0.1,1
False,True,False,False,False,False,True,3,jelly,1.8,459484,400,307200,0.1,1
False,True,False,False,False,False,True,3,karte,8.75,4729712,400,307200,0.1,1
False,True,False,False,False,False,True,3,mandelbrot,1.19,207032,400,307200,0.1,1
False,True,False,False,False,False,True,3,strawberry,1.75,468736,400,307200,0.1,1
False,True,False,False,False,False,True,3,village,2.93,836672,400,307200,0.1,1
False,True,True,False,False,False,True,4,corona,1.32,241956,400,307200,0.1,1
False,True,True,False,False,False,True,4,cranium,3.04,848804,400,307200,0.1,1
False,True,True,False,False,False,True,4,cubus,6.93,2856580,400,307200,0.1,1
False,True,True,False,False,False,True,4,flame,2.05,543804,400,307200,0.1,1
False,True,True,False,False,False,True,4,france,5.47,1846508,400,307200,0.1,1
False,True,True,False,False,False,True,4,frisco,5.73,2250848,400,307200,0.1,1
False,True,True,False,False,False,True,4,jelly,1.96,488456,400,307200,0.1,1
False,True,True,False,False,False,True,4,karte,9.69,3960152,400,307200,0.1,1
False,True,True,False,False,False,True,4,mandelbrot,1.29,223744,400,307200,0.1,1
False,True,True,False,False,False,True,4,strawberry,1.92,485032,400,307200,0.1,1
False,True,True,False,False,False,True,4,village,3.14,971528,400,307200,0.1,1
False,True,True,True,False,True,False,5,corona,1.83,312180,50,8294400,0.9,8
False,True,True,True,False,True,False,5,cranium,2.04,510148,50,8294400,0.9,8
False,True,True,True,False,True,False,5,cubus,8.16,2106572,50,8294400,0.9,8
False,True,True,True,False,True,False,5,flame,2.19,706912,50,8294400,0.9,8
False,True,True,True,False,True,False,5,france,3.81,1011356,50,8294400,0.9,8
False,True,True,True,False,True,False,5,frisco,4.85,1436004,50,8294400,0.9,8
False,True,True,True,False,True,False,5,jelly,1.69,406304,50,8294400,0.9,8
False,True,True,True,False,True,False,5,karte,19.04,2976028,50,8294400,0.9,8
False,True,True,True,False,True,False,5,mandelbrot,1.44,393760,50,8294400,0.9,8
False,True,True,True,False,True,False,5,strawberry,1.62,417540,50,8294400,0.9,8
False,True,True,True,False,True,False,5,village,2.39,668768,50,8294400,0.9,8
False,False,False,False,False,True,True,6,corona,1.23,232048,400,307200,0.1,1
False,False,False,False,False,True,True,6,cranium,2.9,782284,400,307200,0.1,1
False,False,False,False,False,True,True,6,cubus,5.69,2522012,400,307200,0.1,1
False,False,False,False,False,True,True,6,flame,1.66,418668,400,307200,0.1,1
False,False,False,False,False,True,True,6,france,5.3,1956452,400,307200,0.1,1
False,False,False,False,False,True,True,6,frisco,5.6,2209440,400,307200,0.1,1
False,False,False,False,False,True,True,6,jelly,1.94,473936,400,307200,0.1,1
False,False,False,False,False,True,True,6,karte,9.09,4619376,400,307200,0.1,1
False,False,False,False,False,True,True,6,mandelbrot,1.41,302172,400,307200,0.1,1
False,False,False,False,False,True,True,6,strawberry,1.92,450560,400,307200,0.1,1
False,False,False,False,False,True,True,6,village,3.21,798348,400,307200,0.1,1
